transfer_id,task_from,task_to,transfer_size,transfer_time
0,1/ID00000,13/ID00012,178.0,3.0
1,2/ID00001,14/ID00013,182.0,4.0
2,3/ID00002,15/ID00014,182.0,4.0
3,4/ID00003,16/ID00015,177.0,3.0
4,5/ID00004,17/ID00016,179.0,3.0
5,6/ID00005,18/ID00017,176.0,3.0
6,7/ID00006,19/ID00018,175.0,3.0
7,8/ID00007,20/ID00019,180.0,3.0
8,9/ID00008,21/ID00020,176.0,3.0
9,10/ID00009,22/ID00021,178.0,3.0
10,11/ID00010,23/ID00022,181.0,4.0
11,12/ID00011,24/ID00023,177.0,3.0
12,21/ID00020,25/ID00024,60.0,1.0
13,22/ID00021,25/ID00024,60.0,1.0
14,13/ID00012,25/ID00024,76.0,2.0
15,23/ID00022,25/ID00024,60.0,1.0
16,14/ID00013,25/ID00024,60.0,1.0
17,24/ID00023,25/ID00024,60.0,1.0
18,17/ID00016,25/ID00024,61.0,2.0
19,18/ID00017,25/ID00024,60.0,1.0
20,15/ID00014,25/ID00024,72.0,2.0
21,16/ID00015,25/ID00024,60.0,1.0
22,19/ID00018,25/ID00024,84.0,2.0
23,20/ID00019,25/ID00024,67.0,2.0
24,25/ID00024,26/ID00025,60.0,1.0
25,25/ID00024,27/ID00026,60.0,1.0
26,25/ID00024,28/ID00027,60.0,1.0
27,25/ID00024,29/ID00028,60.0,1.0
28,25/ID00024,30/ID00029,60.0,1.0
29,25/ID00024,31/ID00030,60.0,1.0
30,25/ID00024,32/ID00031,60.0,1.0
31,25/ID00024,33/ID00032,60.0,1.0
32,25/ID00024,34/ID00033,60.0,1.0
33,25/ID00024,35/ID00034,60.0,1.0
34,25/ID00024,36/ID00035,60.0,1.0
35,25/ID00024,37/ID00036,60.0,1.0
36,26/ID00025,38/ID00037,60.0,1.0
37,27/ID00026,39/ID00038,60.0,1.0
38,28/ID00027,40/ID00039,60.0,1.0
39,29/ID00028,41/ID00040,60.0,1.0
40,30/ID00029,42/ID00041,60.0,1.0
41,31/ID00030,43/ID00042,60.0,1.0
42,32/ID00031,44/ID00043,60.0,1.0
43,33/ID00032,45/ID00044,60.0,1.0
44,34/ID00033,46/ID00045,60.0,1.0
45,35/ID00034,47/ID00046,60.0,1.0
46,36/ID00035,48/ID00047,60.0,1.0
47,37/ID00036,49/ID00048,60.0,1.0
48,44/ID00043,50/ID00049,60.0,1.0
49,45/ID00044,50/ID00049,60.0,1.0
50,46/ID00045,50/ID00049,60.0,1.0
51,47/ID00046,50/ID00049,60.0,1.0
52,41/ID00040,50/ID00049,60.0,1.0
53,42/ID00041,50/ID00049,60.0,1.0
54,43/ID00042,50/ID00049,60.0,1.0
55,48/ID00047,50/ID00049,78.0,2.0
56,39/ID00038,50/ID00049,60.0,1.0
57,49/ID00048,50/ID00049,72.0,2.0
58,40/ID00039,50/ID00049,70.0,2.0
59,38/ID00037,50/ID00049,60.0,1.0
60,0/entry,1/ID00000,7287.0,122.0
61,0/entry,2/ID00001,7295.0,122.0
62,0/entry,3/ID00002,7295.0,122.0
63,0/entry,4/ID00003,7297.0,122.0
64,0/entry,5/ID00004,7293.0,122.0
65,0/entry,6/ID00005,7297.0,122.0
66,0/entry,7/ID00006,7295.0,122.0
67,0/entry,8/ID00007,7292.0,122.0
68,0/entry,9/ID00008,7294.0,122.0
69,0/entry,10/ID00009,7293.0,122.0
70,0/entry,11/ID00010,7290.0,122.0
71,0/entry,12/ID00011,7300.0,122.0
72,50/ID00049,51/finish,60.0,1.0
